"","npar","AIC","BIC","logLik","deviance","Chisq","Df","Pr(>Chisq)"
"mod0",3,17456.8684989809,17474.3645415224,-8725.43424949044,17450.8684989809,NA,NA,NA
"region",9,17450.8377591318,17503.3258867564,-8716.4188795659,17432.8377591318,18.0307398490877,6,0.00615583215152252
"poa",11,17453.2390196286,17517.3911756142,-8715.61950981431,17431.2390196286,1.59873950318433,2,0.449612242239866
"sonority",12,15655.2420743922,15725.2262445582,-7815.62103719609,15631.2420743922,1799.99694523645,1,0
"stress",13,15262.0682459704,15337.884430317,-7618.03412298522,15236.0682459704,395.173828421732,1,6.18795729017674e-88
"horizontal",15,15236.3654670585,15323.8456797661,-7603.18273352924,15206.3654670585,29.7027789119547,2,3.54914310323762e-07
"vertical",16,15160.213477179,15253.5257040671,-7564.10673858951,15128.213477179,78.1519898794559,1,9.54094688734233e-19
"region_poa",28,15159.3371564307,15322.6335534848,-7551.66857821533,15103.3371564307,24.8763207483644,12,0.0154199478007874
"region_son",34,15088.3202616813,15286.6087438184,-7510.16013084063,15020.3202616813,83.0168947494021,6,8.49710764596432e-16
"region_stress_son",47,15065.2259213253,15339.330587809,-7485.61296066263,14971.2259213253,49.0943403559959,13,4.26035970050328e-06
"region_poa_son",54,15050.895305311,15365.8240710583,-7471.44765265549,14942.895305311,28.3306160142893,7,0.00019153036559367
"hor_region",66,15064.9343819976,15449.847317911,-7466.46719099882,14932.9343819976,9.96092331334148,12,0.619388952836445
"ver_region",72,15071.722826104,15491.6278471004,-7463.86141305202,14927.722826104,5.21155589360387,6,0.516980022043781
